Date,BAM,COP,ETN,NEE,OKE,PXD
1/4/2010,9.43,40.08,32.16,13.31,19.95,50.98
1/5/2010,9.58,40.12,31.97,13.18,19.78,51
1/6/2010,9.48,40.41,31.83,13.31,19.89,51.89
1/7/2010,9.5,40.25,32.3,13.28,19.76,52.35
1/8/2010,9.55,40.6,33.03,13.16,19.87,53.25
1/11/2010,9.42,40.84,34.53,13.15,20.31,52.28
1/12/2010,9.27,39.97,34.1,12.83,20.02,51.14
1/13/2010,9.44,40.22,34.45,12.88,20.1,51.9
1/14/2010,9.4,40.39,34.51,12.5,19.98,52.53
1/15/2010,9.33,40.42,33.88,12.64,19.66,50.53
1/19/2010,9.3,40.94,34.9,12.72,20.12,50.26
1/20/2010,9.16,40.45,34.2,12.5,20.12,49.53
1/21/2010,8.93,39.82,33.37,12.26,19.95,48.13
1/22/2010,8.9,38.57,32.94,12.04,19.61,46.53
1/25/2010,8.9,38.69,32.29,11.94,19.79,46.92
1/26/2010,8.72,38.44,32.07,12.31,19.84,45.94
1/27/2010,8.67,37.97,31.66,12.44,19.22,45.4
1/28/2010,8.56,36.86,31.27,12.25,19.01,45.23
1/29/2010,8.5,36.59,30.62,12.19,18.47,43.98
2/1/2010,8.6,37.41,32.19,12.31,18.86,45.84
2/2/2010,8.8,38.23,32.58,12.4,18.95,46.78
2/3/2010,8.84,38.11,32.39,12.35,18.8,45.87
2/4/2010,8.77,36.71,30.96,12.01,18.11,44.12
2/5/2010,8.96,36.58,31,11.85,17.84,43.62
2/8/2010,8.83,36.11,30.99,11.72,17.78,44.27
2/9/2010,8.96,36.96,31.93,11.62,18.1,46.31
2/10/2010,8.99,36.79,31.77,11.48,17.99,45.37
2/11/2010,9.14,37.28,32.42,11.49,18.22,47.33
2/12/2010,9.18,37.1,32.51,11.39,18.24,47.1
2/16/2010,9.36,38.06,33.32,11.6,18.58,48.8
2/17/2010,9.57,37.58,33.52,11.44,18.7,48.73
2/18/2010,9.71,37.25,33.81,11.44,18.69,49.26
2/19/2010,9.83,37.28,33.86,11.72,18.82,49.49
2/22/2010,9.77,37.12,33.72,11.71,19.03,48.02
2/23/2010,9.66,36.48,33.19,11.7,18.8,46.18
2/24/2010,9.64,36.86,33.41,11.77,19.22,46.3
2/25/2010,9.88,36.82,33.48,11.72,19.33,46.67
2/26/2010,10.01,36.59,34.06,11.59,19.4,46.65
3/1/2010,10.12,37.29,35,11.85,19.81,47.15
3/2/2010,10.13,37.89,35.01,11.8,19.95,47.84
3/3/2010,10.17,37.64,35.77,11.73,20.08,48
3/4/2010,10.2,37.61,35.77,11.81,20.51,47.69
3/5/2010,10.33,38.43,36.57,11.91,20.53,48.98
3/8/2010,10.34,38.67,36.3,11.94,20.3,48.54
3/9/2010,10.39,38.76,36.21,11.76,20.41,49.43
3/10/2010,10.33,39.24,36.23,11.74,20.53,50.97
3/11/2010,10.43,39.11,36.27,11.84,20.64,51.09
3/12/2010,10.47,39.4,37.21,11.77,20.42,52.78
3/15/2010,10.49,39.37,36.98,11.83,20.38,52.1
3/16/2010,10.56,39.77,37.28,11.96,20.42,53.75
3/17/2010,10.69,40.39,37.45,12.01,20.47,53.29
3/18/2010,10.67,40.18,37.55,11.99,20.49,53.07
3/19/2010,10.41,39.92,37.08,12.04,20.11,53.03
3/22/2010,10.58,39.72,37.83,11.96,20.07,52.6
3/23/2010,10.64,40.03,38.16,11.96,20.32,53.79
3/24/2010,10.59,40.04,37.41,11.82,20.2,53.9
3/25/2010,10.74,39.28,37.23,11.86,19.99,53.36
3/26/2010,10.76,38.89,37.28,11.95,19.83,52.84
3/29/2010,10.92,38.99,38.05,12.15,20.16,54.42
3/30/2010,10.75,39.08,38.21,11.92,20.17,54.73
3/31/2010,10.75,39.01,37.89,12.08,19.98,56.32
4/1/2010,10.9,39.66,38.03,12.21,20.47,59.15
4/5/2010,10.88,40.62,38.45,12.24,20.77,61.4
4/6/2010,10.91,40.63,38.83,12.3,21.01,60.96
4/7/2010,10.84,40.33,39.22,12.28,20.84,59.58
4/8/2010,10.72,41.12,39.24,12.26,20.62,60.21
4/9/2010,10.72,42.17,40.1,12.43,20.83,60.99
4/12/2010,10.67,42.66,39.97,12.44,20.9,60.84
4/13/2010,10.75,42.44,39.69,12.37,20.81,62.02
4/14/2010,10.82,43.37,39.96,12.15,20.96,62.69
4/15/2010,10.81,43.5,40.16,12.21,20.95,62.39
4/16/2010,10.63,42.73,39.7,12.11,20.77,60.74
4/19/2010,10.59,43.18,39.58,12.1,20.74,61.4
4/20/2010,10.8,43.76,39.16,12.51,21.23,63.3
4/21/2010,10.9,43.62,39.05,12.59,21.26,63.28
4/22/2010,10.76,43.44,39.36,12.73,21.53,64.8
4/23/2010,10.97,44.28,39.6,12.83,21.9,66.09
4/26/2010,10.96,44.44,39.42,12.77,21.97,66.09
4/27/2010,10.76,43.86,38.52,12.51,21.25,62.55
4/28/2010,10.74,44.63,38.56,12.69,21.39,63.14
4/29/2010,11.11,45.05,39.51,12.67,21.54,63.92
4/30/2010,10.72,45.12,38.58,13.01,21.51,64.13
5/3/2010,10.86,45.51,39.23,13.17,22.2,66.23
5/4/2010,10.49,44.22,37.45,12.86,21.78,64.13
5/5/2010,10.34,43.27,37.51,12.74,21.22,62.86
5/6/2010,10.07,42,35.62,12.77,20.31,61.43
5/7/2010,10.47,41.68,35.13,12.81,20.13,58.5
5/10/2010,10.68,43.2,37.41,13.16,21.21,63.89
5/11/2010,10.67,43.67,37.51,13.17,21.37,63.85
5/12/2010,10.78,43.97,38.5,13.22,21.7,65.5
5/13/2010,10.76,43.41,38.08,13.21,21.32,64.82
5/14/2010,10.55,42.57,36.96,13.18,20.68,62.91
5/17/2010,10.64,42.07,36.92,13.16,20.56,60.93
5/18/2010,10.47,41.68,36.31,13.08,20.13,60.52
