Date,BP,COP,CVX,EQNR,OKE,PXD,XOM
1/4/2010,59.15,40.08,79.06,25.89,19.95,50.98,69.15
1/5/2010,59.57,40.12,79.62,25.89,19.78,51,69.42
1/6/2010,59.88,40.41,79.63,26.12,19.89,51.89,70.02
1/7/2010,59.86,40.25,79.33,25.98,19.76,52.35,69.8
1/8/2010,60,40.6,79.47,26.16,19.87,53.25,69.52
1/11/2010,61.89,40.84,80.88,26.47,20.31,52.28,70.3
1/12/2010,61.5,39.97,80.41,25.88,20.02,51.14,69.95
1/13/2010,61.8,40.22,79.8,25.93,20.1,51.9,69.67
1/14/2010,61.73,40.39,79.55,26.15,19.98,52.53,69.68
1/15/2010,61.64,40.42,79.23,25.92,19.66,50.53,69.11
1/19/2010,62.32,40.94,79.68,25.45,20.12,50.26,69.27
1/20/2010,61.06,40.45,78.15,24.65,20.12,49.53,68.03
1/21/2010,59.57,39.82,76.24,23.87,19.95,48.13,66.7
1/22/2010,57.87,38.57,74.59,23.17,19.61,46.53,66.1
1/25/2010,58.55,38.69,74.55,23.26,19.79,46.92,65.85
1/26/2010,58.49,38.44,74.15,22.9,19.84,45.94,65.92
1/27/2010,58.06,37.97,73.7,22.99,19.22,45.4,65.54
1/28/2010,57.33,36.86,73.24,22.87,19.01,45.23,64.96
1/29/2010,56.12,36.59,72.12,22.36,18.47,43.98,64.43
2/1/2010,57.23,37.41,73.58,22.91,18.86,45.84,66.18
2/2/2010,55.46,38.23,74.45,23.55,18.95,46.78,66.96
2/3/2010,55.17,38.11,73.21,23.13,18.8,45.87,66.6
2/4/2010,53.48,36.71,71.37,21.98,18.11,44.12,64.72
2/5/2010,53.18,36.58,71.18,21.67,17.84,43.62,64.8
2/8/2010,52.43,36.11,70.13,21.57,17.78,44.27,64.35
2/9/2010,53.61,36.96,71.31,22.22,18.1,46.31,65.2
2/10/2010,53.65,36.79,70.75,21.68,17.99,45.37,64.85
2/11/2010,54.8,37.28,71.73,22.26,18.22,47.33,65.24
2/12/2010,54.67,37.1,71.01,21.74,18.24,47.1,64.8
2/16/2010,55.95,38.06,72.99,22.83,18.58,48.8,66.28
2/17/2010,54.24,37.58,72.84,22.33,18.7,48.73,65.76
2/18/2010,54.74,37.25,73.62,22.62,18.69,49.26,65.96
2/19/2010,54.3,37.28,74.05,22.57,18.82,49.49,65.87
2/22/2010,54.25,37.12,72.96,22.91,19.03,48.02,65.4
2/23/2010,53.22,36.48,72.04,22.44,18.8,46.18,64.94
2/24/2010,53.58,36.86,72.34,22.75,19.22,46.3,65.55
2/25/2010,52.89,36.82,72.11,22.34,19.33,46.67,65.14
2/26/2010,53.21,36.59,72.3,22.47,19.4,46.65,65
3/1/2010,53.98,37.29,72.81,22.75,19.81,47.15,65.4
3/2/2010,54,37.89,73.32,22.85,19.95,47.84,65.49
3/3/2010,54.86,37.64,73.13,23.03,20.08,48,65.43
3/4/2010,55.09,37.61,73.08,22.76,20.51,47.69,65.4
3/5/2010,55.78,38.43,74.3,23.5,20.53,48.98,66.47
3/8/2010,56.17,38.67,74.64,23.37,20.3,48.54,66.48
3/9/2010,56.04,38.76,74.3,23.15,20.41,49.43,66.78
3/10/2010,56.19,39.24,73.96,23.7,20.53,50.97,67.22
3/11/2010,56.6,39.11,73.99,23.33,20.64,51.09,67.22
3/12/2010,56.86,39.4,73.72,23.22,20.42,52.78,66.8
3/15/2010,56.58,39.37,73.57,22.75,20.38,52.1,66.3
3/16/2010,57.18,39.77,73.98,23.2,20.42,53.75,66.57
3/17/2010,58.15,40.39,74.67,23.29,20.47,53.29,67.36
3/18/2010,58.15,40.18,74.76,23.28,20.49,53.07,67.39
3/19/2010,57.69,39.92,74.98,23.13,20.11,53.03,67.04
3/22/2010,57.35,39.72,74.46,22.92,20.07,52.6,66.97
3/23/2010,57.95,40.03,74.77,23.22,20.32,53.79,66.95
3/24/2010,57.23,40.04,73.93,22.63,20.2,53.9,66.5
3/25/2010,56.53,39.28,73.8,22.4,19.99,53.36,66.3
3/26/2010,56.69,38.89,74.43,22.57,19.83,52.84,66.54
3/29/2010,56.89,38.99,75.23,23.13,20.16,54.42,67.3
3/30/2010,56.83,39.08,75.3,23.04,20.17,54.73,67.05
3/31/2010,57.07,39.01,75.83,23.33,19.98,56.32,66.98
4/1/2010,57.74,39.66,76.69,23.78,20.47,59.15,67.61
4/5/2010,58.51,40.62,77.66,23.97,20.77,61.4,68.19
4/6/2010,59.36,40.63,77.88,23.95,21.01,60.96,67.9
4/7/2010,58.78,40.33,77.37,23.65,20.84,59.58,67.34
4/8/2010,58.97,41.12,77.66,24.05,20.62,60.21,67.86
4/9/2010,59.46,42.17,79.5,24.51,20.83,60.99,68.76
4/12/2010,59.34,42.66,80.43,24.37,20.9,60.84,68.71
4/13/2010,59.29,42.44,80.21,24.27,20.81,62.02,68.66
4/14/2010,60,43.37,80.58,24.64,20.96,62.69,68.61
4/15/2010,60.57,43.5,81.59,24.81,20.95,62.39,68.26
4/16/2010,59.88,42.73,80.75,24.38,20.77,60.74,67.93
4/19/2010,59.48,43.18,81.32,24.17,20.74,61.4,68.23
4/20/2010,60.48,43.76,82.05,24.64,21.23,63.3,68.97
4/21/2010,60.09,43.62,81.92,24.56,21.26,63.28,68.92
4/22/2010,59.55,43.44,81.2,24.52,21.53,64.8,68.56
4/23/2010,59.88,44.28,82.67,24.98,21.9,66.09,69.24
4/26/2010,57.91,44.44,82.59,24.89,21.97,66.09,69.29
4/27/2010,56.33,43.86,80.23,24.3,21.25,62.55,68.27
4/28/2010,57.34,44.63,80.62,23.97,21.39,63.14,69.19
4/29/2010,52.56,45.05,82.29,24.37,21.54,63.92,68.66
4/30/2010,52.15,45.12,81.44,24.17,21.51,64.13,67.77
5/3/2010,50.19,45.51,82.83,24.22,22.2,66.23,67.84
5/4/2010,51.2,44.22,80.76,23.75,21.78,64.13,66.47
5/5/2010,50.99,43.27,80.19,22.74,21.22,62.86,66.17
5/6/2010,50.33,42,77.2,21.59,20.31,61.43,63.89
5/7/2010,49.06,41.68,77.1,21.39,20.13,58.5,63.7
5/10/2010,48.75,43.2,79.89,22.57,21.21,63.89,65.23
