MSN,Year,Value,Column_Order,Description,Unit
TERCBUS,1949,5599.404,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1950,5988.744,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1951,6380.397,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1952,6560.456,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1953,6558.982,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1954,6846.306,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1955,7278.249,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1956,7663.006,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1957,7712.289,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1958,8200.985,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1959,8412.235,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1960,9039.816,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1961,9286.431,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1962,9782.865,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1963,9988.955,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1964,10241.058,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1965,10639.89,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1966,11169.166,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1967,11639.868,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1968,12336.928,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1969,13169.881,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1970,13766.472,2,Total Energy Consumed by the Residential Sector,Trillion Btu
TERCBUS,1971,14246.925,2,Total Energy Consumed by the Residential Sector,Trillion Btu
