MSN,Year,Value,Column_Order,Description,Unit
HVICBUS,1949,75.537,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1950,69.396,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1951,63.097,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1952,61.538,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1953,56.506,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1954,55.678,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1955,38.149,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1956,36.751,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1957,35.521,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1958,37.162,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1959,37.003,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1960,38.808,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1961,35.836,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1962,35.99,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1963,33.914,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1964,33.772,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1965,32.757,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1966,33.138,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1967,35.787,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1968,35.172,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1969,34.22,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1970,34.04,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1971,33.746,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1972,34.42,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1973,34.773,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1974,33.202,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1975,32.321,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1976,33.372,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1977,32.601,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1978,31.563,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1979,34.094,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1980,32.838,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1981,33.043,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1982,33.046,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1983,33.255,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1984,33.002,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1985,33.024,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1986,33.021,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1987,32.936,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1988,32.635,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1989,28.396,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1990,30.947,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1991,29.675,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1992,30.508,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1993,29.593,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1994,62.186,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1995,54.695,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1996,60.773,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1997,58.062,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
HVICBUS,1998,54.539,1,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu
